Age,RemoteWork,EdLevel,YearsCodePro,Country,Industry,Salary
18-24 years old,In-person,Less than a Bachelors,2.0,Italy,Other,48190.0
25-34 years old,Remote,Bachelor’s degree,8.0,France,"IT, Software Development, Technology",80317.0
18-24 years old,Hybrid,Bachelor’s degree,1.0,United Kingdom,"IT, Software Development, Technology",55862.0
18-24 years old,Hybrid,Bachelor’s degree,2.0,Portugal,"IT, Software Development, Technology",27736.0
25-34 years old,Remote,Less than a Bachelors,5.0,Italy,Oil & Gas,39623.0
25-34 years old,In-person,Master’s degree,2.0,Denmark,"IT, Software Development, Technology",71892.0
25-34 years old,Hybrid,Bachelor’s degree,6.0,United Kingdom,"Manufacturing, Transportation, Supply",65793.0
25-34 years old,Hybrid,Master’s degree,3.0,Germany,"IT, Software Development, Technology",55258.0
25-34 years old,Hybrid,Master’s degree,5.0,France,"IT, Software Development, Technology",64254.0
35-44 years old,Hybrid,Bachelor’s degree,8.0,Germany,Financial Services,74963.0
25-34 years old,Remote,Less than a Bachelors,6.0,United States,"Manufacturing, Transportation, Supply",150000.0
18-24 years old,In-person,Master’s degree,1.0,France,Other,36410.0
55-64 years old,Hybrid,Less than a Bachelors,43.0,United Kingdom,Insurance,93104.0
18-24 years old,Hybrid,Bachelor’s degree,4.0,Poland,"IT, Software Development, Technology",35889.0
35-44 years old,Hybrid,Bachelor’s degree,15.0,France,Other,58899.0
25-34 years old,Hybrid,Master’s degree,12.0,France,Retail and Consumer Services,62112.0
45-54 years old,In-person,Master’s degree,33.0,Denmark,"IT, Software Development, Technology",146402.0
35-44 years old,Hybrid,Less than a Bachelors,17.0,Italy,"IT, Software Development, Technology",69608.0
35-44 years old,Hybrid,Master’s degree,22.0,Switzerland,Higher Education,148792.0
45-54 years old,Hybrid,Bachelor’s degree,21.0,Germany,"IT, Software Development, Technology",77104.0
18-24 years old,In-person,Less than a Bachelors,4.0,Canada,"IT, Software Development, Technology",55764.0
25-34 years old,Hybrid,Bachelor’s degree,3.0,United States,"Manufacturing, Transportation, Supply",130000.0
18-24 years old,Hybrid,Less than a Bachelors,2.0,United Kingdom,Other,37359.0
45-54 years old,Hybrid,Master’s degree,12.0,France,Other,80317.0
35-44 years old,Hybrid,Master’s degree,6.0,Netherlands,"IT, Software Development, Technology",47119.0
25-34 years old,Hybrid,Bachelor’s degree,15.0,France,Advertising Services,91026.0
35-44 years old,Remote,Less than a Bachelors,6.0,United States,Financial Services,85000.0
25-34 years old,Hybrid,Master’s degree,11.0,Finland,"IT, Software Development, Technology",55687.0
25-34 years old,In-person,Master’s degree,3.0,Poland,"IT, Software Development, Technology",26319.0
45-54 years old,Remote,Post grad,10.0,Germany,Other,91026.0
25-34 years old,Remote,Bachelor’s degree,7.0,Brazil,"IT, Software Development, Technology",18259.0
25-34 years old,Hybrid,Bachelor’s degree,8.0,Spain,"IT, Software Development, Technology",91026.0
25-34 years old,Hybrid,Bachelor’s degree,12.0,Switzerland,"IT, Software Development, Technology",79356.0
45-54 years old,Remote,Bachelor’s degree,23.0,Canada,"IT, Software Development, Technology",81787.0
25-34 years old,Hybrid,Bachelor’s degree,5.0,Canada,Other,54277.0
35-44 years old,Remote,Master’s degree,10.0,Finland,Financial Services,79246.0
35-44 years old,Hybrid,Bachelor’s degree,7.0,Switzerland,Healthcare,137770.0
25-34 years old,Hybrid,Master’s degree,12.0,Sweden,"IT, Software Development, Technology",56022.0
35-44 years old,Remote,Bachelor’s degree,17.0,United Kingdom,Advertising Services,89379.0
25-34 years old,In-person,Master’s degree,3.0,Germany,Higher Education,48190.0
18-24 years old,Hybrid,Master’s degree,2.0,France,"IT, Software Development, Technology",59970.0
35-44 years old,Remote,Bachelor’s degree,14.0,India,"IT, Software Development, Technology",78760.0
45-54 years old,Hybrid,Less than a Bachelors,28.0,Sweden,Higher Education,52189.0
25-34 years old,Hybrid,Bachelor’s degree,6.0,Australia,Financial Services,92545.0
35-44 years old,Hybrid,Master’s degree,20.0,Poland,Healthcare,102883.0
25-34 years old,Remote,Less than a Bachelors,10.0,United Kingdom,"IT, Software Development, Technology",96828.0
35-44 years old,Hybrid,Master’s degree,4.0,Germany,"IT, Software Development, Technology",80317.0
35-44 years old,Hybrid,Bachelor’s degree,15.0,France,Other,48190.0
25-34 years old,Hybrid,Less than a Bachelors,3.0,Germany,"Manufacturing, Transportation, Supply",64254.0
35-44 years old,Remote,Less than a Bachelors,3.0,Spain,Financial Services,37481.0
35-44 years old,Hybrid,Post grad,8.0,Germany,Higher Education,95096.0
25-34 years old,In-person,Master’s degree,2.0,France,"IT, Software Development, Technology",65325.0
18-24 years old,Remote,Bachelor’s degree,2.0,United Kingdom,Other,86897.0
18-24 years old,Remote,Bachelor’s degree,3.0,Brazil,"IT, Software Development, Technology",16230.0
35-44 years old,Hybrid,Less than a Bachelors,23.0,Sweden,Other,58049.0
25-34 years old,Remote,Bachelor’s degree,13.0,Brazil,"IT, Software Development, Technology",34489.0
45-54 years old,Hybrid,Post grad,10.0,Germany,Healthcare,117798.0
25-34 years old,Remote,Master’s degree,7.0,United Kingdom,"IT, Software Development, Technology",76966.0
25-34 years old,In-person,Post grad,3.0,Sweden,Higher Education,77399.0
25-34 years old,Remote,Bachelor’s degree,6.0,Brazil,"IT, Software Development, Technology",26374.0
35-44 years old,Hybrid,Master’s degree,4.0,France,Other,48190.0
25-34 years old,Remote,Bachelor’s degree,5.0,Brazil,"IT, Software Development, Technology",26374.0
35-44 years old,Hybrid,Post grad,14.0,Germany,"IT, Software Development, Technology",117798.0
25-34 years old,Remote,Bachelor’s degree,6.0,United States,"IT, Software Development, Technology",145000.0
25-34 years old,In-person,Master’s degree,4.0,France,"IT, Software Development, Technology",53545.0
25-34 years old,Remote,Bachelor’s degree,10.0,Brazil,"IT, Software Development, Technology",12173.0
25-34 years old,Remote,Less than a Bachelors,1.0,Sweden,"IT, Software Development, Technology",39252.0
25-34 years old,Hybrid,Master’s degree,14.0,Germany,Higher Education,62112.0
25-34 years old,Remote,Bachelor’s degree,8.0,United Kingdom,Advertising Services,80690.0
35-44 years old,Remote,Bachelor’s degree,12.0,Spain,Other,107090.0
35-44 years old,Remote,Bachelor’s degree,17.0,Brazil,"IT, Software Development, Technology",131869.0
45-54 years old,Remote,Less than a Bachelors,30.0,Brazil,"IT, Software Development, Technology",100000.0
35-44 years old,Hybrid,Master’s degree,17.0,Denmark,"IT, Software Development, Technology",103525.0
45-54 years old,Remote,Master’s degree,30.0,Germany,"IT, Software Development, Technology",107090.0
45-54 years old,Hybrid,Less than a Bachelors,10.0,Canada,"Manufacturing, Transportation, Supply",66916.0
35-44 years old,Hybrid,Master’s degree,15.0,Israel,"IT, Software Development, Technology",160367.0
25-34 years old,Remote,Bachelor’s degree,8.0,Germany,Healthcare,85672.0
35-44 years old,Hybrid,Master’s degree,0.5,United Kingdom,"IT, Software Development, Technology",32276.0
25-34 years old,Remote,Master’s degree,8.0,Germany,"IT, Software Development, Technology",94239.0
25-34 years old,Remote,Bachelor’s degree,7.0,Germany,Healthcare,64254.0
25-34 years old,Hybrid,Master’s degree,8.0,France,"IT, Software Development, Technology",32341.0
35-44 years old,Remote,Bachelor’s degree,17.0,Brazil,"IT, Software Development, Technology",29417.0
35-44 years old,Remote,Bachelor’s degree,15.0,United Kingdom,Other,78207.0
35-44 years old,Hybrid,Master’s degree,5.0,France,"IT, Software Development, Technology",51403.0
18-24 years old,Hybrid,Master’s degree,1.0,Germany,"IT, Software Development, Technology",80317.0
45-54 years old,In-person,Bachelor’s degree,21.0,Israel,"IT, Software Development, Technology",160367.0
25-34 years old,Hybrid,Master’s degree,13.0,Germany,"Manufacturing, Transportation, Supply",87813.0
25-34 years old,In-person,Bachelor’s degree,9.0,Israel,Other,10424.0
18-24 years old,Remote,Less than a Bachelors,3.0,Brazil,"IT, Software Development, Technology",18462.0
35-44 years old,Hybrid,Post grad,5.0,Spain,Advertising Services,38552.0
35-44 years old,Remote,Less than a Bachelors,15.0,Austria,"IT, Software Development, Technology",96381.0
18-24 years old,Hybrid,Less than a Bachelors,1.0,Austria,"IT, Software Development, Technology",47119.0
25-34 years old,Hybrid,Bachelor’s degree,10.0,India,"IT, Software Development, Technology",90877.0
25-34 years old,Hybrid,Bachelor’s degree,10.0,Denmark,Other,81957.0
45-54 years old,Hybrid,Master’s degree,17.0,Germany,"IT, Software Development, Technology",101735.0
25-34 years old,Remote,Bachelor’s degree,7.0,France,Retail and Consumer Services,53545.0
25-34 years old,Remote,Bachelor’s degree,3.0,United States,"IT, Software Development, Technology",87010.0
25-34 years old,Hybrid,Master’s degree,9.0,Brazil,Legal Services,48690.0
35-44 years old,Remote,Bachelor’s degree,15.0,Brazil,Other,57820.0
25-34 years old,In-person,Master’s degree,5.0,United States,"IT, Software Development, Technology",250000.0
25-34 years old,Hybrid,Bachelor’s degree,7.0,Netherlands,"Manufacturing, Transportation, Supply",57828.0
25-34 years old,Remote,Bachelor’s degree,9.0,United Kingdom,"IT, Software Development, Technology",55862.0
18-24 years old,Remote,Less than a Bachelors,5.0,Portugal,Retail and Consumer Services,64254.0
25-34 years old,Remote,Less than a Bachelors,2.0,Germany,"IT, Software Development, Technology",42836.0
35-44 years old,Hybrid,Bachelor’s degree,20.0,Germany,Higher Education,68537.0
25-34 years old,Remote,Bachelor’s degree,4.0,United States,Other,85000.0
35-44 years old,Hybrid,Less than a Bachelors,10.0,Germany,"IT, Software Development, Technology",63932.0
25-34 years old,Hybrid,Bachelor’s degree,8.0,Germany,Other,112444.0
35-44 years old,Remote,Bachelor’s degree,16.0,United States,"IT, Software Development, Technology",240000.0
18-24 years old,Hybrid,Bachelor’s degree,2.0,United States,"IT, Software Development, Technology",104500.0
35-44 years old,Remote,Less than a Bachelors,4.0,Brazil,"IT, Software Development, Technology",48690.0
35-44 years old,In-person,Master’s degree,15.0,United States,"IT, Software Development, Technology",180000.0
25-34 years old,Hybrid,Bachelor’s degree,5.0,Poland,Financial Services,47852.0
25-34 years old,In-person,Bachelor’s degree,3.0,Israel,Retail and Consumer Services,112257.0
18-24 years old,Remote,Bachelor’s degree,3.0,United States,"IT, Software Development, Technology",185000.0
18-24 years old,Hybrid,Less than a Bachelors,4.0,Canada,"IT, Software Development, Technology",89222.0
35-44 years old,In-person,Bachelor’s degree,18.0,Portugal,Retail and Consumer Services,32127.0
25-34 years old,Remote,Post grad,11.0,United States,"IT, Software Development, Technology",220000.0
35-44 years old,Hybrid,Bachelor’s degree,7.0,United States,"IT, Software Development, Technology",120000.0
25-34 years old,Hybrid,Bachelor’s degree,7.0,United Kingdom,"IT, Software Development, Technology",62069.0
25-34 years old,Remote,Less than a Bachelors,8.0,Germany,"IT, Software Development, Technology",64254.0
25-34 years old,Hybrid,Bachelor’s degree,9.0,Israel,"IT, Software Development, Technology",141658.0
25-34 years old,Hybrid,Less than a Bachelors,6.0,Austria,"IT, Software Development, Technology",53545.0
25-34 years old,Remote,Master’s degree,2.0,United Kingdom,Other,62069.0
18-24 years old,Remote,Bachelor’s degree,5.0,Brazil,"IT, Software Development, Technology",46662.0
18-24 years old,Remote,Bachelor’s degree,2.0,United States,"IT, Software Development, Technology",90000.0
25-34 years old,Hybrid,Master’s degree,6.0,Denmark,"IT, Software Development, Technology",98349.0
25-34 years old,Remote,Bachelor’s degree,4.0,United States,Healthcare,115000.0
18-24 years old,Hybrid,Less than a Bachelors,7.0,Germany,Healthcare,74963.0
35-44 years old,Hybrid,Bachelor’s degree,14.0,United Kingdom,Other,66414.0
25-34 years old,Hybrid,Bachelor’s degree,3.0,India,"IT, Software Development, Technology",58161.0
18-24 years old,Hybrid,Bachelor’s degree,3.0,Sweden,"IT, Software Development, Technology",53836.0
25-34 years old,Hybrid,Bachelor’s degree,5.0,United Kingdom,"IT, Software Development, Technology",68276.0
25-34 years old,Hybrid,Bachelor’s degree,9.0,United States,"Manufacturing, Transportation, Supply",120000.0
35-44 years old,Hybrid,Master’s degree,15.0,Canada,"Manufacturing, Transportation, Supply",63199.0
18-24 years old,Hybrid,Bachelor’s degree,3.0,Germany,"IT, Software Development, Technology",74963.0
25-34 years old,In-person,Post grad,7.0,Denmark,Higher Education,79082.0
25-34 years old,In-person,Master’s degree,3.0,Russian,Healthcare,16088.0
25-34 years old,Hybrid,Master’s degree,5.0,Italy,"IT, Software Development, Technology",54616.0
35-44 years old,Remote,Bachelor’s degree,15.0,United States,Retail and Consumer Services,240000.0
25-34 years old,Hybrid,Master’s degree,3.0,United Kingdom,Financial Services,80690.0
45-54 years old,Hybrid,Less than a Bachelors,22.0,Sweden,Insurance,57496.0
25-34 years old,Hybrid,Master’s degree,5.0,Germany,Higher Education,63385.0
25-34 years old,Remote,Bachelor’s degree,6.0,Brazil,Higher Education,17457.0
35-44 years old,Hybrid,Master’s degree,14.0,Russian,"IT, Software Development, Technology",37127.0
25-34 years old,Remote,Bachelor’s degree,5.0,Brazil,"IT, Software Development, Technology",32866.0
25-34 years old,Remote,Master’s degree,6.0,United Kingdom,"IT, Software Development, Technology",44690.0
45-54 years old,Remote,Bachelor’s degree,26.0,Brazil,Legal Services,36518.0
35-44 years old,Hybrid,Bachelor’s degree,15.0,United Kingdom,"IT, Software Development, Technology",93104.0
35-44 years old,Remote,Bachelor’s degree,17.0,Spain,Other,53545.0
25-34 years old,Hybrid,Master’s degree,9.0,Germany,Higher Education,62355.0
45-54 years old,Remote,Master’s degree,25.0,United States,Other,215000.0
35-44 years old,Remote,Master’s degree,15.0,Germany,Financial Services,82459.0
25-34 years old,Hybrid,Post grad,5.0,Germany,Higher Education,64254.0
25-34 years old,Hybrid,Bachelor’s degree,7.0,Canada,"Manufacturing, Transportation, Supply",70262.0
65 years or older,Hybrid,Less than a Bachelors,46.0,Brazil,Legal Services,40575.0
25-34 years old,Remote,Bachelor’s degree,5.0,India,"IT, Software Development, Technology",55738.0
55-64 years old,In-person,Post grad,33.0,Brazil,Higher Education,44552.0
25-34 years old,Remote,Less than a Bachelors,5.0,Canada,Other,107810.0
25-34 years old,Hybrid,Bachelor’s degree,5.0,Canada,Higher Education,55764.0
35-44 years old,Hybrid,Bachelor’s degree,16.0,Israel,"IT, Software Development, Technology",160367.0
25-34 years old,Remote,Bachelor’s degree,14.0,Brazil,"IT, Software Development, Technology",111582.0
25-34 years old,Remote,Bachelor’s degree,15.0,Brazil,"IT, Software Development, Technology",33475.0
35-44 years old,Remote,Bachelor’s degree,17.0,Brazil,Healthcare,85000.0
35-44 years old,Hybrid,Post grad,21.0,United States,Higher Education,84000.0
25-34 years old,Remote,Bachelor’s degree,12.0,Germany,"IT, Software Development, Technology",85672.0
35-44 years old,Remote,Less than a Bachelors,9.0,United States,"IT, Software Development, Technology",92000.0
35-44 years old,Hybrid,Post grad,14.0,United Kingdom,Insurance,144599.0
35-44 years old,Hybrid,Master’s degree,11.0,Sweden,"IT, Software Development, Technology",49756.0
25-34 years old,In-person,Bachelor’s degree,1.0,United Kingdom,"IT, Software Development, Technology",51517.0
35-44 years old,Hybrid,Bachelor’s degree,9.0,Spain,Other,59970.0
45-54 years old,Remote,Master’s degree,20.0,United States,Higher Education,81000.0
25-34 years old,Remote,Bachelor’s degree,7.0,Poland,"IT, Software Development, Technology",105275.0
25-34 years old,Hybrid,Bachelor’s degree,12.0,United States,"IT, Software Development, Technology",220000.0
25-34 years old,Remote,Master’s degree,9.0,Denmark,"IT, Software Development, Technology",115028.0
25-34 years old,Hybrid,Bachelor’s degree,6.0,United States,"Manufacturing, Transportation, Supply",104000.0
18-24 years old,Hybrid,Master’s degree,0.5,United Kingdom,"Manufacturing, Transportation, Supply",37862.0
25-34 years old,Remote,Bachelor’s degree,2.0,United Kingdom,Healthcare,34759.0
25-34 years old,Remote,Bachelor’s degree,6.0,United States,Financial Services,125000.0
35-44 years old,Hybrid,Master’s degree,11.0,United Kingdom,"IT, Software Development, Technology",90621.0
25-34 years old,Hybrid,Master’s degree,5.0,Austria,"IT, Software Development, Technology",74963.0
35-44 years old,Hybrid,Master’s degree,15.0,Portugal,"IT, Software Development, Technology",42836.0
18-24 years old,In-person,Less than a Bachelors,6.0,United States,"IT, Software Development, Technology",93000.0
45-54 years old,Hybrid,Bachelor’s degree,8.0,United Kingdom,"IT, Software Development, Technology",117931.0
18-24 years old,Hybrid,Master’s degree,0.5,United Kingdom,"IT, Software Development, Technology",74483.0
45-54 years old,Remote,Bachelor’s degree,28.0,United Kingdom,Other,218483.0
35-44 years old,In-person,Master’s degree,16.0,Switzerland,Financial Services,132260.0
45-54 years old,Hybrid,Bachelor’s degree,29.0,Spain,"IT, Software Development, Technology",57828.0
35-44 years old,Hybrid,Bachelor’s degree,20.0,Germany,Other,85672.0
25-34 years old,Remote,Bachelor’s degree,7.0,United States,"IT, Software Development, Technology",180000.0
25-34 years old,Hybrid,Bachelor’s degree,5.0,Netherlands,"IT, Software Development, Technology",38402.0
18-24 years old,Remote,Bachelor’s degree,4.0,Brazil,"IT, Software Development, Technology",40575.0
25-34 years old,Remote,Bachelor’s degree,4.0,Canada,"IT, Software Development, Technology",66916.0
35-44 years old,Remote,Bachelor’s degree,9.0,Brazil,"IT, Software Development, Technology",46256.0
18-24 years old,Hybrid,Bachelor’s degree,5.0,United Kingdom,Financial Services,37241.0
25-34 years old,Remote,Master’s degree,9.0,Germany,"IT, Software Development, Technology",64254.0
25-34 years old,Hybrid,Less than a Bachelors,5.0,Austria,Healthcare,64254.0
55-64 years old,Remote,Bachelor’s degree,12.0,United Kingdom,Financial Services,55862.0
55-64 years old,Hybrid,Master’s degree,30.0,France,"IT, Software Development, Technology",58899.0
35-44 years old,Hybrid,Less than a Bachelors,23.0,Sweden,Advertising Services,128998.0
35-44 years old,Remote,Less than a Bachelors,6.0,Portugal,Retail and Consumer Services,53545.0
25-34 years old,Hybrid,Master’s degree,8.0,Germany,"IT, Software Development, Technology",66396.0
25-34 years old,In-person,Bachelor’s degree,7.0,Brazil,Financial Services,24345.0
25-34 years old,Hybrid,Master’s degree,2.0,Germany,"IT, Software Development, Technology",53545.0
25-34 years old,Remote,Bachelor’s degree,7.0,United Kingdom,Other,64552.0
25-34 years old,In-person,Master’s degree,6.0,Netherlands,Financial Services,91026.0
45-54 years old,Remote,Master’s degree,32.0,United Kingdom,Financial Services,111724.0
18-24 years old,Hybrid,Bachelor’s degree,2.0,India,"IT, Software Development, Technology",21810.0
25-34 years old,Remote,Bachelor’s degree,5.0,Brazil,Financial Services,29214.0
25-34 years old,In-person,Bachelor’s degree,6.0,Brazil,Other,18259.0
45-54 years old,Remote,Master’s degree,22.0,United Kingdom,"IT, Software Development, Technology",102662.0
35-44 years old,Hybrid,Less than a Bachelors,15.0,Germany,"IT, Software Development, Technology",69608.0
25-34 years old,Hybrid,Bachelor’s degree,12.0,Germany,Higher Education,64254.0
25-34 years old,Remote,Bachelor’s degree,7.0,Portugal,Other,69608.0
35-44 years old,Remote,Bachelor’s degree,15.0,United Kingdom,Retail and Consumer Services,93104.0
25-34 years old,Hybrid,Bachelor’s degree,12.0,Austria,"IT, Software Development, Technology",74963.0
35-44 years old,Hybrid,Bachelor’s degree,15.0,United Kingdom,"IT, Software Development, Technology",167587.0
35-44 years old,Remote,Bachelor’s degree,22.0,Germany,"Manufacturing, Transportation, Supply",139216.0
18-24 years old,Hybrid,Less than a Bachelors,3.0,Canada,"IT, Software Development, Technology",39035.0
35-44 years old,In-person,Less than a Bachelors,11.0,Poland,Other,71779.0
18-24 years old,In-person,Less than a Bachelors,2.0,United Kingdom,Retail and Consumer Services,31035.0
25-34 years old,Hybrid,Less than a Bachelors,3.0,Norway,"IT, Software Development, Technology",58898.0
25-34 years old,Remote,Bachelor’s degree,12.0,Germany,Advertising Services,74856.0
25-34 years old,Hybrid,Bachelor’s degree,4.0,Brazil,"IT, Software Development, Technology",13390.0
35-44 years old,In-person,Post grad,10.0,Netherlands,Other,85672.0
35-44 years old,Hybrid,Master’s degree,12.0,France,"IT, Software Development, Technology",56891.0
25-34 years old,Remote,Bachelor’s degree,9.0,Canada,Advertising Services,66916.0
25-34 years old,Remote,Bachelor’s degree,10.0,United Kingdom,"IT, Software Development, Technology",124138.0
18-24 years old,Remote,Bachelor’s degree,3.0,Brazil,Retail and Consumer Services,21911.0
25-34 years old,In-person,Bachelor’s degree,8.0,Spain,"IT, Software Development, Technology",32127.0
25-34 years old,Remote,Master’s degree,5.0,United States,"IT, Software Development, Technology",125000.0
25-34 years old,Hybrid,Bachelor’s degree,9.0,United Kingdom,"IT, Software Development, Technology",50897.0
25-34 years old,Remote,Master’s degree,6.0,Canada,"IT, Software Development, Technology",66916.0
35-44 years old,Hybrid,Master’s degree,16.0,Germany,Other,94239.0
25-34 years old,Hybrid,Bachelor’s degree,10.0,United Kingdom,"Manufacturing, Transportation, Supply",91242.0
25-34 years old,In-person,Master’s degree,10.0,Netherlands,Higher Education,58899.0
35-44 years old,In-person,Master’s degree,22.0,United Kingdom,Financial Services,192414.0
35-44 years old,Remote,Bachelor’s degree,14.0,Brazil,Higher Education,29011.0
25-34 years old,Hybrid,Master’s degree,5.0,Switzerland,"IT, Software Development, Technology",115727.0
35-44 years old,Hybrid,Less than a Bachelors,14.0,Spain,"IT, Software Development, Technology",27843.0
45-54 years old,Hybrid,Master’s degree,17.0,Germany,"Manufacturing, Transportation, Supply",83530.0
25-34 years old,Hybrid,Master’s degree,3.0,Germany,Retail and Consumer Services,59970.0
35-44 years old,Hybrid,Master’s degree,7.0,Netherlands,Retail and Consumer Services,64254.0
35-44 years old,Remote,Less than a Bachelors,28.0,Brazil,Other,52748.0
35-44 years old,Remote,Bachelor’s degree,19.0,United Kingdom,Legal Services,108000.0
25-34 years old,In-person,Master’s degree,3.0,Norway,"IT, Software Development, Technology",57992.0
25-34 years old,Hybrid,Bachelor’s degree,3.0,United Kingdom,Retail and Consumer Services,86897.0
25-34 years old,Remote,Bachelor’s degree,10.0,United States,Healthcare,135000.0
35-44 years old,In-person,Master’s degree,10.0,Netherlands,Financial Services,101735.0
18-24 years old,In-person,Less than a Bachelors,1.0,Australia,"Manufacturing, Transportation, Supply",59494.0
55-64 years old,Hybrid,Bachelor’s degree,39.0,Germany,"IT, Software Development, Technology",85672.0
25-34 years old,Hybrid,Bachelor’s degree,2.0,Italy,"IT, Software Development, Technology",28914.0
25-34 years old,Hybrid,Bachelor’s degree,11.0,Netherlands,"IT, Software Development, Technology",64254.0
45-54 years old,Hybrid,Less than a Bachelors,8.0,Netherlands,Retail and Consumer Services,123153.0
25-34 years old,In-person,Less than a Bachelors,2.0,United States,Other,55000.0
25-34 years old,Remote,Master’s degree,3.0,India,Higher Education,36351.0
18-24 years old,Remote,Less than a Bachelors,6.0,United States,"IT, Software Development, Technology",80000.0
35-44 years old,Hybrid,Bachelor’s degree,16.0,United Kingdom,Other,103655.0
18-24 years old,Remote,Bachelor’s degree,1.0,India,"IT, Software Development, Technology",14540.0
35-44 years old,Remote,Less than a Bachelors,8.0,Brazil,"IT, Software Development, Technology",30200.0
25-34 years old,Remote,Less than a Bachelors,1.0,Spain,"IT, Software Development, Technology",32127.0
25-34 years old,Hybrid,Bachelor’s degree,5.0,Israel,Healthcare,112257.0
25-34 years old,Remote,Bachelor’s degree,6.0,India,"IT, Software Development, Technology",30292.0
25-34 years old,In-person,Less than a Bachelors,3.0,Canada,Healthcare,38735.0
25-34 years old,In-person,Master’s degree,4.0,Austria,"IT, Software Development, Technology",53545.0
35-44 years old,Remote,Master’s degree,16.0,United Kingdom,"IT, Software Development, Technology",106887.0
55-64 years old,Remote,Master’s degree,37.0,Germany,"IT, Software Development, Technology",160634.0
35-44 years old,Remote,Master’s degree,13.0,Australia,Other,105766.0
25-34 years old,Remote,Bachelor’s degree,2.0,Brazil,Other,20693.0
25-34 years old,Hybrid,Bachelor’s degree,25.0,Switzerland,"IT, Software Development, Technology",154303.0
35-44 years old,Remote,Less than a Bachelors,11.0,Spain,"IT, Software Development, Technology",42300.0
25-34 years old,Hybrid,Bachelor’s degree,9.0,Poland,Financial Services,53116.0
25-34 years old,Remote,Master’s degree,2.0,Italy,Financial Services,37481.0
35-44 years old,Remote,Bachelor’s degree,18.0,Germany,Financial Services,171343.0
18-24 years old,Remote,Less than a Bachelors,1.0,United States,Retail and Consumer Services,72000.0
35-44 years old,Remote,Less than a Bachelors,13.0,Germany,"IT, Software Development, Technology",101735.0
35-44 years old,Hybrid,Bachelor’s degree,14.0,United States,"Manufacturing, Transportation, Supply",159000.0
25-34 years old,Hybrid,Bachelor’s degree,6.0,Germany,Retail and Consumer Services,96381.0
18-24 years old,Hybrid,Master’s degree,3.0,United States,"IT, Software Development, Technology",124143.0
35-44 years old,Remote,Bachelor’s degree,17.0,United States,"IT, Software Development, Technology",140000.0
45-54 years old,Remote,Master’s degree,25.0,Italy,"IT, Software Development, Technology",77104.0
25-34 years old,In-person,Less than a Bachelors,2.0,United States,"IT, Software Development, Technology",47500.0
35-44 years old,Hybrid,Less than a Bachelors,10.0,France,Financial Services,42836.0
55-64 years old,In-person,Master’s degree,31.0,Finland,"Manufacturing, Transportation, Supply",87813.0
35-44 years old,Hybrid,Less than a Bachelors,14.0,Italy,"IT, Software Development, Technology",37481.0
25-34 years old,Hybrid,Bachelor’s degree,8.0,Brazil,"IT, Software Development, Technology",42604.0
25-34 years old,Remote,Less than a Bachelors,6.0,Brazil,"IT, Software Development, Technology",20288.0
25-34 years old,Remote,Bachelor’s degree,10.0,United States,Other,150000.0
25-34 years old,Remote,Bachelor’s degree,8.0,United States,Financial Services,206000.0
45-54 years old,Hybrid,Master’s degree,9.0,United Kingdom,"Manufacturing, Transportation, Supply",67696.0
45-54 years old,Remote,Bachelor’s degree,21.0,Spain,Other,128507.0
25-34 years old,Hybrid,Less than a Bachelors,12.0,United States,"IT, Software Development, Technology",217000.0
25-34 years old,Remote,Bachelor’s degree,13.0,Brazil,Financial Services,36518.0
35-44 years old,Remote,Bachelor’s degree,8.0,Germany,"IT, Software Development, Technology",88884.0
35-44 years old,Remote,Bachelor’s degree,14.0,United States,"IT, Software Development, Technology",170000.0
25-34 years old,Hybrid,Bachelor’s degree,7.0,United Kingdom,Other,94345.0
25-34 years old,Remote,Less than a Bachelors,7.0,Brazil,Financial Services,32460.0
25-34 years old,In-person,Bachelor’s degree,9.0,Switzerland,Higher Education,79788.0
25-34 years old,Hybrid,Master’s degree,10.0,United States,Other,190000.0
25-34 years old,Hybrid,Master’s degree,4.0,Netherlands,Advertising Services,53720.0
25-34 years old,In-person,Less than a Bachelors,4.0,United Kingdom,"Manufacturing, Transportation, Supply",48265.0
25-34 years old,Remote,Bachelor’s degree,9.0,Netherlands,Retail and Consumer Services,69608.0
35-44 years old,Hybrid,Post grad,12.0,United Kingdom,Higher Education,61324.0
45-54 years old,Hybrid,Less than a Bachelors,20.0,Sweden,Financial Services,64499.0
35-44 years old,Remote,Master’s degree,13.0,United States,Higher Education,90000.0
18-24 years old,Hybrid,Master’s degree,0.5,United Kingdom,Retail and Consumer Services,43448.0
55-64 years old,Remote,Bachelor’s degree,23.0,United States,"IT, Software Development, Technology",150000.0
35-44 years old,Remote,Bachelor’s degree,16.0,Canada,"IT, Software Development, Technology",118962.0
25-34 years old,Remote,Less than a Bachelors,5.0,United States,Other,90000.0
55-64 years old,Remote,Master’s degree,40.0,United States,"IT, Software Development, Technology",150000.0
35-44 years old,Hybrid,Master’s degree,12.0,Netherlands,"IT, Software Development, Technology",96381.0
25-34 years old,Remote,Master’s degree,4.0,Netherlands,"IT, Software Development, Technology",110302.0
35-44 years old,Remote,Bachelor’s degree,14.0,United States,Healthcare,212500.0
25-34 years old,Remote,Master’s degree,8.0,France,"IT, Software Development, Technology",128507.0
45-54 years old,Remote,Bachelor’s degree,25.0,United States,Financial Services,200000.0
